,longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
25062,37.820563,55.771395,01,1,0,4,1,0,"37.820563,55.771395",0
25063,37.771683,55.722131,06,0,1,2,2,0,"37.771683,55.722131",0
25064,37.780373,55.792548,12,0,1,2,1,0,"37.780373,55.792548",0
25065,37.558139,55.875,12,0,2,2,0,1,"37.558139,55.875",0
25066,37.404027,55.707196,10,2,0,2,1,0,"37.404027,55.707196",0
25067,37.816626,55.692784,06,0,0,3,1,0,"37.816626,55.692784",0
25068,37.460182,55.805072,08,0,0,2,1,0,"37.460182,55.805072",0
25069,37.378374,55.844958,12,0,0,2,1,0,"37.378374,55.844958",0
25070,37.472101,55.77539,06,0,0,2,1,0,"37.472101,55.77539",0
25071,37.797947,55.810036,05,0,0,5,1,0,"37.797947,55.810036",0
25072,37.481003,55.59773,06,0,1,2,1,0,"37.481003,55.59773",0
25073,37.786821,55.760658,01,0,0,3,1,0,"37.786821,55.760658",0
25074,37.427051,55.770605,08,0,0,2,1,0,"37.427051,55.770605",0
25075,37.382752,55.888869,06,0,2,2,0,1,"37.382752,55.888869",0
25076,37.585,55.89,12,0,0,2,1,0,"37.585,55.89",0
25077,37.61752,55.688067,06,0,1,1,1,0,"37.61752,55.688067",0
25078,37.5216,55.8451,12,0,1,2,1,0,"37.5216,55.8451",0
25079,37.6265,55.7587,02,1,0,5,1,0,"37.6265,55.7587",0
25080,37.647942,55.653984,05,0,0,2,1,0,"37.647942,55.653984",0
25081,37.521658,55.815896,06,0,0,2,1,0,"37.521658,55.815896",0
25082,37.39495,55.923684,05,0,0,5,1,0,"37.39495,55.923684",0
25083,37.439754,55.840579,09,0,0,2,1,0,"37.439754,55.840579",0
25084,37.493935,55.851493,06,0,0,2,1,0,"37.493935,55.851493",0
25085,37.770808,55.637769,10,0,1,2,1,0,"37.770808,55.637769",0
25086,37.863929,55.744078,06,0,0,2,1,0,"37.863929,55.744078",0
25087,37.697074,55.782794,06,0,0,3,1,0,"37.697074,55.782794",0
25088,37.537567,55.774829,07,0,1,2,1,0,"37.537567,55.774829",0
25089,37.837,55.819,05,2,0,2,1,0,"37.837,55.819",0
25090,37.711108,55.731925,04,0,0,2,1,0,"37.711108,55.731925",0
25091,37.547,55.914,01,0,0,2,1,0,"37.547,55.914",0
25092,37.680541,55.683022,10,1,0,2,1,0,"37.680541,55.683022",0
25093,37.662449,55.649364,01,1,0,3,1,0,"37.662449,55.649364",0
